Symbol,keywords
IIFLWAM,IIFL Wealth Management
IRB,IRB Infrastructure Developers
IRCON,IRCON International
ITC,ITC
ITI,ITI
INDIACEM,India Cements
ITDC,India Tourism Development Corporation
IBULHSGFIN,Indiabulls Housing Finance
IBREALEST,Indiabulls Real Estate
IBVENTURES,Indiabulls Ventures
INDIAMART,Indiamart Intermesh
INDIANB,Indian Bank
IEX,Indian Energy Exchange
INDHOTEL,Indian Hotels Co.
IOC,Indian Oil Corporation
IOB,Indian Overseas Bank
IRCTC,Indian Railway Catering And Tourism Corporation
INDOSTAR,IndoStar Capital Finance
INDOCO,Indoco Remedies
IGL,Indraprastha Gas
INDUSINDBK,IndusInd Bank
INFIBEAM,Infibeam Avenues
NAUKRI,Info Edge (India)
INFY,"Infosys,INFY,Narayana Murthy"
INGERRAND,Ingersoll Rand (India)
INOXLEISUR,Inox Leisure
INTELLECT,Intellect Design Arena
INDIGO,InterGlobe Aviation
IPCALAB,Ipca Laboratories
JBCHEPHARM,J.B. Chemicals & Pharmaceuticals
JKCEMENT,J.K. Cement
JKLAKSHMI,JK Lakshmi Cement
JKPAPER,JK Paper
JKTYRE,JK Tyre & Industries
JMFINANCIL,JM Financial
JSWENERGY,JSW Energy
JSWSTEEL,JSW Steel
JAGRAN,Jagran Prakashan
JAICORPLTD,Jai Corp
J&KBANK,Jammu & Kashmir Bank
JAMNAAUTO,Jamna Auto Industries
JINDALSAW,Jindal Saw
JSLHISAR,Jindal Stainless (Hisar)
JSL,Jindal Stainless
JINDALSTEL,Jindal Steel & Power
JCHAC,Johnson Controls - Hitachi Air Conditioning India
JUBLFOOD,Jubilant Foodworks
JUBILANT,Jubilant Life Sciences
JUSTDIAL,Justdial
JYOTHYLAB,Jyothy Labs
KPRMILL,K.P.R. Mill
KEI,KEI Industries
KNRCON,KNR Constructions
KPITTECH,KPIT Technologies
KRBL,KRBL
KSB,KSB
KAJARIACER,Kajaria Ceramics
KALPATPOWR,Kalpataru Power Transmission
KANSAINER,Kansai Nerolac Paints
KTKBANK,Karnataka Bank
KARURVYSYA,Karur Vysya Bank
KSCL,Kaveri Seed Company
KEC,Kec International
KOLTEPATIL,Kolte-Patil Developers
KOTAKBANK,Kotak Mahindra Bank
L&TFH,L&T Finance Holdings
LTTS,L&T Technology Services
LICHSGFIN,LIC Housing Finance
LAOPALA,La Opala RG
LAXMIMACH,Lakshmi Machine Works
LTI,"Larsen & Toubro Infotech,L&T,LTI,L&T Infotech"
LT,Larsen & Toubro
LAURUSLABS,Laurus Labs
LEMONTREE,Lemon Tree Hotels
LINDEINDIA,Linde India
LUPIN,Lupin
LUXIND,Lux Industries
MASFIN,MAS Financial Services
MMTC,MMTC
MOIL,MOIL
MRF,MRF
MGL,Mahanagar Gas
MAHSCOOTER,Maharashtra Scooters
MAHSEAMLES,Maharashtra Seamless
M&MFIN,Mahindra & Mahindra Financial Services
M&M,Mahindra & Mahindra
MAHINDCIE,Mahindra CIE Automotive
MHRIL,Mahindra Holidays & Resorts India
MAHLOG,Mahindra Logistics
MANAPPURAM,Manappuram Finance
MRPL,Mangalore Refinery & Petrochemicals
MARICO,Marico
MARUTI,Maruti Suzuki India
MFSL,Max Financial Services
METROPOLIS,Metropolis Healthcare
MINDTREE,MindTree
MINDACORP,Minda Corporation
MINDAIND,Minda Industries
MIDHANI,Mishra Dhatu Nigam
MOTHERSUMI,Motherson Sumi Systems
MOTILALOFS,Motilal Oswal Financial Services
MPHASIS,MphasiS
MCX,Multi Commodity Exchange of India
MUTHOOTFIN,Muthoot Finance
NATCOPHARM,NATCO Pharma
NBCC,NBCC (India)
NCC,NCC
NESCO,NESCO
NHPC,NHPC
NLCINDIA,NLC India
NMDC,NMDC
NTPC,NTPC
NH,Narayana Hrudayalaya
NATIONALUM,National Aluminium Co.
NFL,National Fertilizers
NBVENTURES,Nava Bharat Ventures
NAVINFLUOR,Navin Fluorine International
NESTLEIND,Nestle India
NILKAMAL,Nilkamal
NAM-INDIA,Nippon Life India Asset Management
OBEROIRLTY,Oberoi Realty
ONGC,Oil & Natural Gas Corporation
OIL,Oil India
OMAXE,Omaxe
OFSS,Oracle Financial Services Software
ORIENTCEM,Orient Cement
ORIENTELEC,Orient Electric
ORIENTREF,Orient Refractories
PIIND,PI Industries
PNBHOUSING,PNB Housing Finance
PNCINFRA,PNC Infratech
PTC,PTC India
PVR,PVR
PAGEIND,Page Industries
PERSISTENT,Persistent Systems
PETRONET,Petronet LNG
PFIZER,Pfizer
PHILIPCARB,Phillips Carbon Black
PHOENIXLTD,Phoenix Mills
PIDILITIND,Pidilite Industries
PEL,Piramal Enterprises
POLYMED,Poly Medicure
POLYCAB,Polycab India
PFC,Power Finance Corporation
POWERGRID,Power Grid Corporation of India
PRAJIND,Praj Industries
PRESTIGE,Prestige Estates Projects
PRSMJOHNSN,Prism Johnson
PGHL,Procter & Gamble Health
PGHH,Procter & Gamble Hygiene & Health Care
PNB,Punjab National Bank
QUESS,Quess Corp
RBLBANK,RBL Bank
RECLTD,REC
RITES,RITES
RADICO,Radico Khaitan Ltd
RVNL,Rail Vikas Nigam
RAIN,Rain Industries Ltd
RAJESHEXPO,Rajesh Exports
RALLIS,Rallis India
RCF,Rashtriya Chemicals & Fertilizers
RATNAMANI,Ratnamani Metals & Tubes
RAYMOND,Raymond
REDINGTON,Redington (India)
RELAXO,Relaxo Footwears
RELIANCE,"Reliance Industries,Mukesh Ambani,Jio"
REPCOHOME,Repco Home Finance
SBICARD,SBI Cards and Payment Services
SBILIFE,SBI Life Insurance Company
SJVN,SJVN
SKFINDIA,SKF India
SRF,SRF
SADBHAV,Sadbhav Engineering
SANOFI,Sanofi India
SCHAEFFLER,Schaeffler India
SCHNEIDER,Schneider Electric Infrastructure
SIS,Security and Intelligence Services (India)
SEQUENT,Sequent Scientific
SFL,Sheela Foam
SCI,Shipping Corporation of India
SHOPERSTOP,Shoppers Stop
SHREECEM,Shree Cement
RENUKA,Shree Renuka Sugars
SHRIRAMCIT,Shriram City Union Finance
SRTRANSFIN,Shriram Transport Finance Co.
SIEMENS,Siemens
SOBHA,Sobha
SOLARINDS,Solar Industries India
SONATSOFTW,Sonata Software
SOUTHBANK,South Indian Bank
SPANDANA,Spandana Sphoorty Financial
SPICEJET,Spicejet
STARCEMENT,Star Cement
SBIN,State Bank of India
SAIL,Steel Authority of India
SWSOLAR,Sterling And Wilson Solar
STRTECH,Sterlite Technologies
STAR,Strides Pharma Science
SUDARSCHEM,Sudarshan Chemical Industries
SUMICHEM,Sumitomo Chemical India
SPARC,Sun Pharma Advanced Research Company
SUNPHARMA,Sun Pharmaceutical Industries
SUNTV,Sun TV Network
SUNDARMFIN,Sundaram Finance
SUNDRMFAST,Sundram Fasteners
SUNTECK,Sunteck Realty
SUPRAJIT,Suprajit Engineering
SUPREMEIND,Supreme Industries
SUZLON,Suzlon Energy
SWANENERGY,Swan Energy
SYMPHONY,Symphony
SYNGENE,Syngene International
TCIEXP,TCI Express
TCNSBRANDS,TCNS Clothing Co.
TTKPRESTIG,TTK Prestige
TVTODAY,TV Today Network
TV18BRDCST,TV18 Broadcast
TVSMOTOR,TVS Motor Company
TAKE,Take Solutions
TASTYBITE,Tasty Bite Eatables
TATACOMM,Tata Communications
TCS,"Tata Consultancy Services,Ratan Tata,Tata,TCS"
TATACONSUM,Tata Consumer Products
TATAELXSI,Tata Elxsi
TATAINVEST,Tata Investment Corporation
TATAMTRDVR,Tata Motors DVR
TATAMOTORS,Tata Motors
TATAPOWER,Tata Power Co.
TATASTLBSL,Tata Steel BSL
TATASTEEL,Tata Steel
TEAMLEASE,Teamlease Services
TECHM,Tech Mahindra
NIACL,The New India Assurance Company
RAMCOCEM,The Ramco Cements
THERMAX,Thermax
THYROCARE,Thyrocare Technologies
TIMETECHNO,Time Technoplast
TIMKEN,Timken India
TITAN,Titan Company
TORNTPHARM,Torrent Pharmaceuticals
TORNTPOWER,Torrent Power
TRENT,Trent
TRIDENT,Trident
TIINDIA,Tube Investments of India
UCOBANK,UCO Bank
UFLEX,UFLEX
UPL,UPL
UJJIVAN,Ujjivan Financial Services
UJJIVANSFB,Ujjivan Small Finance Bank
ULTRACEMCO,UltraTech Cement
UNIONBANK,Union Bank of India
UBL,United Breweries
MCDOWELL-N,United Spirits
VGUARD,V-Guard Industries
VMART,V-Mart Retail
VIPIND,V.I.P. Industries
VRLLOG,VRL Logistics
VSTIND,VST Industries
VAIBHAVGBL,Vaibhav Global
VAKRANGEE,Vakrangee
VTL,Vardhman Textiles
VARROC,Varroc Engineering
VBL,Varun Beverages
VENKEYS,Venky's (India)
VESUVIUS,Vesuvius India
VINATIORGA,Vinati Organics
IDEA,"Vodafone Idea,Vodafone,Aditya Birla"
VOLTAS,Voltas
WABCOINDIA,WABCO India
WELCORP,Welspun Corp
WELSPUNIND,Welspun India
WESTLIFE,Westlife Development
WHIRLPOOL,Whirlpool of India
WIPRO,Wipro
WOCKPHARMA,Wockhardt
ZEEL,Zee Entertainment Enterprises
ZENSARTECH,Zensar Technolgies
ZYDUSWELL,Zydus Wellness
ECLERX,eClerx Services
