Symbol,Company Name,Industry,Series,ISIN Code
DABUR,Dabur India Ltd.,CONSUMER GOODS,EQ,INE016A01026
DALBHARAT,Dalmia Bharat Ltd.,CEMENT & CEMENT PRODUCTS,EQ,INE00R701025
DEEPAKNTR,Deepak Nitrite Ltd.,CHEMICALS,EQ,INE288B01029
DELTACORP,Delta Corp Ltd.,SERVICES,EQ,INE124G01033
DHANUKA,Dhanuka Agritech Ltd.,FERTILISERS & PESTICIDES,EQ,INE435G01025
DBL,Dilip Buildcon Ltd.,CONSTRUCTION,EQ,INE917M01012
DISHTV,Dish TV India Ltd.,MEDIA & ENTERTAINMENT,EQ,INE836F01026
DCAL,Dishman Carbogen Amcis Ltd.,PHARMA,EQ,INE385W01011
DIVISLAB,Divi's Laboratories Ltd.,PHARMA,EQ,INE361B01024
DIXON,Dixon Technologies (India) Ltd.,CONSUMER GOODS,EQ,INE935N01012
LALPATHLAB,Dr. Lal Path Labs Ltd.,HEALTHCARE SERVICES,EQ,INE600L01024
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMA,EQ,INE089A01023
EIDPARRY,E.I.D. Parry (India) Ltd.,FERTILISERS & PESTICIDES,EQ,INE126A01031
EIHOTEL,EIH Ltd.,SERVICES,EQ,INE230A01023
ESABINDIA,ESAB India Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE284A01012
EDELWEISS,Edelweiss Financial Services Ltd.,FINANCIAL SERVICES,EQ,INE532F01054
EICHERMOT,Eicher Motors Ltd.,AUTOMOBILE,EQ,INE066A01021
ELGIEQUIP,Elgi Equipments Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE285A01027
EMAMILTD,Emami Ltd.,CONSUMER GOODS,EQ,INE548C01032
ENDURANCE,Endurance Technologies Ltd.,AUTOMOBILE,EQ,INE913H01037
ENGINERSIN,Engineers India Ltd.,CONSTRUCTION,EQ,INE510A01028
EQUITAS,Equitas Holdings Ltd.,FINANCIAL SERVICES,EQ,INE988K01017
ERIS,Eris Lifesciences Ltd.,PHARMA,EQ,INE406M01024
ESCORTS,Escorts Ltd.,AUTOMOBILE,EQ,INE042A01014
ESSELPACK,Essel Propack Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE255A01020
EXIDEIND,Exide Industries Ltd.,AUTOMOBILE,EQ,INE302A01020
FDC,FDC Ltd.,PHARMA,EQ,INE258B01022
FEDERALBNK,Federal Bank Ltd.,FINANCIAL SERVICES,EQ,INE171A01029
FINEORG,Fine Organic Industries Ltd.,CHEMICALS,EQ,INE686Y01026
FINCABLES,Finolex Cables Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE235A01022
FINPIPE,Finolex Industries Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE183A01016
FSL,Firstsource Solutions Ltd.,IT,EQ,INE684F01012
FORTIS,Fortis Healthcare Ltd.,HEALTHCARE SERVICES,EQ,INE061F01013
FCONSUMER,Future Consumer Ltd.,CONSUMER GOODS,EQ,INE220J01025
FRETAIL,Future Retail Ltd.,CONSUMER GOODS,EQ,INE752P01024
GAIL,GAIL (India) Ltd.,OIL & GAS,EQ,INE129A01019
GEPIL,GE Power India Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE878A01011
GET&D,GE T&D India Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE200A01026
GHCL,GHCL Ltd.,CHEMICALS,EQ,INE539A01019
GMMPFAUDLR,GMM Pfaudler Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE541A01023
GMRINFRA,GMR Infrastructure Ltd.,CONSTRUCTION,EQ,INE776C01039
GALAXYSURF,Galaxy Surfactants Ltd.,CHEMICALS,EQ,INE600K01018
GRSE,Garden Reach Shipbuilders & Engineers Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE382Z01011
GARFIBRES,Garware Technical Fibres Ltd.,TEXTILES,EQ,INE276A01018
GICRE,General Insurance Corporation of India,FINANCIAL SERVICES,EQ,INE481Y01014
GILLETTE,Gillette India Ltd.,CONSUMER GOODS,EQ,INE322A01010
GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMA,EQ,INE159A01016
GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMA,EQ,INE935A01035
GODFRYPHLP,Godfrey Phillips India Ltd.,CONSUMER GOODS,EQ,INE260B01028
GODREJAGRO,Godrej Agrovet Ltd.,CONSUMER GOODS,EQ,INE850D01014
GODREJCP,Godrej Consumer Products Ltd.,CONSUMER GOODS,EQ,INE102D01028
GODREJIND,Godrej Industries Ltd.,CONSUMER GOODS,EQ,INE233A01035
GODREJPROP,Godrej Properties Ltd.,CONSTRUCTION,EQ,INE484J01027
GRANULES,Granules India Ltd.,PHARMA,EQ,INE101D01020
GRAPHITE,Graphite India Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE371A01025
GRASIM,Grasim Industries Ltd.,CEMENT & CEMENT PRODUCTS,EQ,INE047A01021
GESHIP,Great Eastern Shipping Co. Ltd.,SERVICES,EQ,INE017A01032
GREAVESCOT,Greaves Cotton Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE224A01026
GRINDWELL,Grindwell Norton Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE536A01023
GUJALKALI,Gujarat Alkalies & Chemicals Ltd.,CHEMICALS,EQ,INE186A01019
FLUOROCHEM,Gujarat Fluorochemicals Ltd.,CHEMICALS,EQ,INE09N301011
GUJGASLTD,Gujarat Gas Ltd.,OIL & GAS,EQ,INE844O01030
GMDCLTD,Gujarat Mineral Development Corporation Ltd.,METALS,EQ,INE131A01031
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,CHEMICALS,EQ,INE113A01013
GPPL,Gujarat Pipavav Port Ltd.,SERVICES,EQ,INE517F01014
GSFC,Gujarat State Fertilizers & Chemicals Ltd.,FERTILISERS & PESTICIDES,EQ,INE026A01025
GSPL,Gujarat State Petronet Ltd.,OIL & GAS,EQ,INE246F01010
GULFOILLUB,Gulf Oil Lubricants India Ltd.,OIL & GAS,EQ,INE635Q01029
HEG,H.E.G. Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE545A01016
HCLTECH,HCL Technologies Ltd.,IT,EQ,INE860A01027
HDFCAMC,HDFC Asset Management Company Ltd.,FINANCIAL SERVICES,EQ,INE127D01025
HDFCBANK,HDFC Bank Ltd.,FINANCIAL SERVICES,EQ,INE040A01034
HDFCLIFE,HDFC Life Insurance Company Ltd.,FINANCIAL SERVICES,EQ,INE795G01014
HFCL,HFCL Ltd.,TELECOM,EQ,INE548A01028
HATHWAY,Hathway Cable & Datacom Ltd.,MEDIA & ENTERTAINMENT,BE,INE982F01036
HATSUN,Hatsun Agro Product Ltd.,CONSUMER GOODS,EQ,INE473B01035
HAVELLS,Havells India Ltd.,CONSUMER GOODS,EQ,INE176B01034
HEIDELBERG,HeidelbergCement India Ltd.,CEMENT & CEMENT PRODUCTS,EQ,INE578A01017
HERITGFOOD,Heritage Foods Ltd.,CONSUMER GOODS,EQ,INE978A01027
HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILE,EQ,INE158A01026
HEXAWARE,Hexaware Technologies Ltd.,IT,EQ,INE093A01033
HSCL,Himadri Speciality Chemical Ltd.,CHEMICALS,EQ,INE019C01026
HIMATSEIDE,Himatsingka Seide Ltd.,TEXTILES,EQ,INE049A01027
HINDALCO,Hindalco Industries Ltd.,METALS,EQ,INE038A01020
HAL,Hindustan Aeronautics Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE066F01012
HINDCOPPER,Hindustan Copper Ltd.,METALS,EQ,INE531E01026
HINDPETRO,Hindustan Petroleum Corporation Ltd.,OIL & GAS,EQ,INE094A01015
HINDUNILVR,Hindustan Unilever Ltd.,CONSUMER GOODS,EQ,INE030A01027
HINDZINC,Hindustan Zinc Ltd.,METALS,EQ,INE267A01025
HONAUT,Honeywell Automation India Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE671A01010
HUDCO,Housing & Urban Development Corporation Ltd.,FINANCIAL SERVICES,EQ,INE031A01017
HDFC,Housing Development Finance Corporation Ltd.,FINANCIAL SERVICES,EQ,INE001A01036
ICICIBANK,ICICI Bank Ltd.,FINANCIAL SERVICES,EQ,INE090A01021
ICICIGI,ICICI Lombard General Insurance Company Ltd.,FINANCIAL SERVICES,EQ,INE765G01017
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,FINANCIAL SERVICES,EQ,INE726G01019
ISEC,ICICI Securities Ltd.,FINANCIAL SERVICES,EQ,INE763G01038
ICRA,ICRA Ltd.,FINANCIAL SERVICES,EQ,INE725G01011
IDBI,IDBI Bank Ltd.,FINANCIAL SERVICES,EQ,INE008A01015
IDFCFIRSTB,IDFC First Bank Ltd.,FINANCIAL SERVICES,EQ,INE092T01019
IDFC,IDFC Ltd.,FINANCIAL SERVICES,EQ,INE043D01016
IFBIND,IFB Industries Ltd.,CONSUMER GOODS,EQ,INE559A01017
IFCI,IFCI Ltd.,FINANCIAL SERVICES,EQ,INE039A01010
IIFL,IIFL Finance Ltd.,FINANCIAL SERVICES,EQ,INE530B01024
IIFLWAM,IIFL Wealth Management Ltd.,FINANCIAL SERVICES,EQ,INE466L01020
IRB,IRB Infrastructure Developers Ltd.,CONSTRUCTION,EQ,INE821I01014
IRCON,IRCON International Ltd.,CONSTRUCTION,EQ,INE962Y01021
ITC,ITC Ltd.,CONSUMER GOODS,EQ,INE154A01025
ITI,ITI Ltd.,TELECOM,EQ,INE248A01017
INDIACEM,India Cements Ltd.,CEMENT & CEMENT PRODUCTS,EQ,INE383A01012
ITDC,India Tourism Development Corporation Ltd.,SERVICES,EQ,INE353K01014
IBULHSGFIN,Indiabulls Housing Finance Ltd.,FINANCIAL SERVICES,EQ,INE148I01020
IBREALEST,Indiabulls Real Estate Ltd.,CONSTRUCTION,EQ,INE069I01010
IBVENTURES,Indiabulls Ventures Ltd.,FINANCIAL SERVICES,EQ,INE274G01010
INDIAMART,Indiamart Intermesh Ltd.,CONSUMER GOODS,EQ,INE933S01016
INDIANB,Indian Bank,FINANCIAL SERVICES,EQ,INE562A01011
IEX,Indian Energy Exchange Ltd.,FINANCIAL SERVICES,EQ,INE022Q01020
INDHOTEL,Indian Hotels Co. Ltd.,SERVICES,EQ,INE053A01029
IOC,Indian Oil Corporation Ltd.,OIL & GAS,EQ,INE242A01010
IOB,Indian Overseas Bank ,FINANCIAL SERVICES,EQ,INE565A01014
IRCTC,Indian Railway Catering And Tourism Corporation Ltd.,SERVICES,EQ,INE335Y01012
INDOSTAR,IndoStar Capital Finance Ltd.,FINANCIAL SERVICES,EQ,INE896L01010
INDOCO,Indoco Remedies Ltd.,PHARMA,EQ,INE873D01024
IGL,Indraprastha Gas Ltd.,OIL & GAS,EQ,INE203G01027
INDUSINDBK,IndusInd Bank Ltd.,FINANCIAL SERVICES,EQ,INE095A01012
INFIBEAM,Infibeam Avenues Ltd.,IT,EQ,INE483S01020
NAUKRI,Info Edge (India) Ltd.,IT,EQ,INE663F01024
INFY,Infosys Ltd.,IT,EQ,INE009A01021
INGERRAND,Ingersoll Rand (India) Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE177A01018
INOXLEISUR,Inox Leisure Ltd.,MEDIA & ENTERTAINMENT,EQ,INE312H01016
INTELLECT,Intellect Design Arena Ltd.,IT,EQ,INE306R01017
INDIGO,InterGlobe Aviation Ltd.,SERVICES,EQ,INE646L01027
IPCALAB,Ipca Laboratories Ltd.,PHARMA,EQ,INE571A01020
JBCHEPHARM,J.B. Chemicals & Pharmaceuticals Ltd.,PHARMA,EQ,INE572A01028
JKCEMENT,J.K. Cement Ltd.,CEMENT & CEMENT PRODUCTS,EQ,INE823G01014
JKLAKSHMI,JK Lakshmi Cement Ltd.,CEMENT & CEMENT PRODUCTS,EQ,INE786A01032
JKPAPER,JK Paper Ltd.,PAPER,EQ,INE789E01012
JKTYRE,JK Tyre & Industries Ltd.,AUTOMOBILE,EQ,INE573A01042
JMFINANCIL,JM Financial Ltd.,FINANCIAL SERVICES,EQ,INE780C01023
JSWENERGY,JSW Energy Ltd.,POWER,EQ,INE121E01018
JSWSTEEL,JSW Steel Ltd.,METALS,EQ,INE019A01038
JAGRAN,Jagran Prakashan Ltd.,MEDIA & ENTERTAINMENT,EQ,INE199G01027
JAICORPLTD,Jai Corp Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE070D01027
J&KBANK,Jammu & Kashmir Bank Ltd.,FINANCIAL SERVICES,EQ,INE168A01041
JAMNAAUTO,Jamna Auto Industries Ltd.,AUTOMOBILE,EQ,INE039C01032
JINDALSAW,Jindal Saw Ltd.,METALS,EQ,INE324A01024
JSLHISAR,Jindal Stainless (Hisar) Ltd.,METALS,EQ,INE455T01018
JSL,Jindal Stainless Ltd.,METALS,EQ,INE220G01021
JINDALSTEL,Jindal Steel & Power Ltd.,METALS,EQ,INE749A01030
JCHAC,Johnson Controls - Hitachi Air Conditioning India Ltd.,CONSUMER GOODS,EQ,INE782A01015
JUBLFOOD,Jubilant Foodworks Ltd.,CONSUMER GOODS,EQ,INE797F01012
JUBILANT,Jubilant Life Sciences Ltd.,PHARMA,EQ,INE700A01033
JUSTDIAL,Justdial Ltd.,IT,EQ,INE599M01018
JYOTHYLAB,Jyothy Labs Ltd.,CONSUMER GOODS,EQ,INE668F01031
KPRMILL,K.P.R. Mill Ltd.,TEXTILES,EQ,INE930H01023
KEI,KEI Industries Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE878B01027
KNRCON,KNR Constructions Ltd.,CONSTRUCTION,EQ,INE634I01029
KPITTECH,KPIT Technologies Ltd.,IT,EQ,INE04I401011
KRBL,KRBL Ltd.,CONSUMER GOODS,EQ,INE001B01026
KSB,KSB Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE999A01015
KAJARIACER,Kajaria Ceramics Ltd.,CONSTRUCTION,EQ,INE217B01036
KALPATPOWR,Kalpataru Power Transmission Ltd.,POWER,EQ,INE220B01022
KANSAINER,Kansai Nerolac Paints Ltd.,CONSUMER GOODS,EQ,INE531A01024
KTKBANK,Karnataka Bank Ltd.,FINANCIAL SERVICES,EQ,INE614B01018
KARURVYSYA,Karur Vysya Bank Ltd.,FINANCIAL SERVICES,EQ,INE036D01028
KSCL,Kaveri Seed Company Ltd.,CONSUMER GOODS,EQ,INE455I01029
KEC,Kec International Ltd.,CONSTRUCTION,EQ,INE389H01022
KOLTEPATIL,Kolte-Patil Developers Ltd.,CONSTRUCTION,EQ,INE094I01018
KOTAKBANK,Kotak Mahindra Bank Ltd.,FINANCIAL SERVICES,EQ,INE237A01028
L&TFH,L&T Finance Holdings Ltd.,FINANCIAL SERVICES,EQ,INE498L01015
LTTS,L&T Technology Services Ltd.,IT,EQ,INE010V01017
LICHSGFIN,LIC Housing Finance Ltd.,FINANCIAL SERVICES,EQ,INE115A01026
LAOPALA,La Opala RG Ltd.,CONSUMER GOODS,EQ,INE059D01020
LAXMIMACH,Lakshmi Machine Works Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE269B01029
LTI,Larsen & Toubro Infotech Ltd.,IT,EQ,INE214T01019
LT,Larsen & Toubro Ltd.,CONSTRUCTION,EQ,INE018A01030
LAURUSLABS,Laurus Labs Ltd.,PHARMA,EQ,INE947Q01010
LEMONTREE,Lemon Tree Hotels Ltd.,SERVICES,EQ,INE970X01018
LINDEINDIA,Linde India Ltd.,CHEMICALS,EQ,INE473A01011
LUPIN,Lupin Ltd.,PHARMA,EQ,INE326A01037
LUXIND,Lux Industries Ltd.,TEXTILES,EQ,INE150G01020
MASFIN,MAS Financial Services Ltd.,FINANCIAL SERVICES,EQ,INE348L01012
MMTC,MMTC Ltd.,SERVICES,EQ,INE123F01029
MOIL,MOIL Ltd.,METALS,EQ,INE490G01020
MRF,MRF Ltd.,AUTOMOBILE,EQ,INE883A01011
MGL,Mahanagar Gas Ltd.,OIL & GAS,EQ,INE002S01010
MAHSCOOTER,Maharashtra Scooters Ltd.,AUTOMOBILE,EQ,INE288A01013
MAHSEAMLES,Maharashtra Seamless Ltd.,METALS,EQ,INE271B01025
M&MFIN,Mahindra & Mahindra Financial Services Ltd.,FINANCIAL SERVICES,EQ,INE774D01024
M&M,Mahindra & Mahindra Ltd.,AUTOMOBILE,EQ,INE101A01026
MAHINDCIE,Mahindra CIE Automotive Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE536H01010
MHRIL,Mahindra Holidays & Resorts India Ltd.,SERVICES,EQ,INE998I01010
MAHLOG,Mahindra Logistics Ltd.,SERVICES,EQ,INE766P01016
MANAPPURAM,Manappuram Finance Ltd.,FINANCIAL SERVICES,EQ,INE522D01027
MRPL,Mangalore Refinery & Petrochemicals Ltd.,OIL & GAS,EQ,INE103A01014
MARICO,Marico Ltd.,CONSUMER GOODS,EQ,INE196A01026
MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILE,EQ,INE585B01010
MFSL,Max Financial Services Ltd.,FINANCIAL SERVICES,EQ,INE180A01020
METROPOLIS,Metropolis Healthcare Ltd.,HEALTHCARE SERVICES,EQ,INE112L01020
MINDTREE,MindTree Ltd.,IT,EQ,INE018I01017
MINDACORP,Minda Corporation Ltd.,AUTOMOBILE,EQ,INE842C01021
MINDAIND,Minda Industries Ltd.,AUTOMOBILE,EQ,INE405E01023
MIDHANI,Mishra Dhatu Nigam Ltd.,METALS,EQ,INE099Z01011
